process_name,quantity,wait_time,wip_count,machine_utilization
Lathe,1,1.0,212,16
Lathe,1,0.0,212,16
Additive,1,0.0,190,11
Drilling,1,0.0,189,20
Lathe,1,5.0,212,5
Drilling,1,0.0,189,5
Lathe,1,23.0,212,2
Lathe,1,0.0,212,14
Milling,1,0.0,201,10
Grinding,1,0.0,624,96
Drilling,1,1.0,189,11
Lathe,1,4.0,212,9
Additive,1,0.0,190,9
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
Grinding,1,10.0,624,96
Additive,1,0.0,190,9
Milling,1,0.0,201,2
Additive,1,21.0,190,13
Grinding,1,0.0,624,96
Grinding,1,20.0,624,96
Milling,1,1.0,201,4
Drilling,1,0.0,189,3
Additive,1,14.0,190,18
Drilling,1,4.0,189,8
Drilling,1,1.0,189,14
Drilling,1,0.0,189,5
Lathe,1,5.0,212,11
Grinding,1,150.0,624,96
Additive,1,2.0,190,8
Drilling,1,3.0,189,15
Drilling,1,0.0,189,9
Lathe,1,0.0,212,7
Additive,1,26.0,190,13
Milling,1,0.0,201,13
Lathe,1,5.0,212,3
Lathe,1,29.0,212,12
Lathe,1,0.0,212,13
Grinding,1,80.0,624,96
Milling,1,4.0,201,4
Lathe,1,0.0,212,10
Grinding,1,0.0,624,96
Drilling,1,1.0,189,18
Grinding,1,25.0,624,96
Drilling,1,0.0,189,20
Milling,1,2.0,201,11
Milling,1,4.0,201,13
Milling,1,0.0,201,11
Additive,1,0.0,190,8
Milling,1,0.0,201,20
Additive,1,10.0,190,3
Milling,1,4.0,201,18
Grinding,1,25.0,624,96
Grinding,1,120.0,624,96
Lathe,1,0.0,212,8
Milling,1,0.0,201,1
Drilling,1,0.0,189,17
Additive,1,3.0,190,18
Additive,1,28.0,190,20
Milling,1,2.0,201,5
Drilling,1,2.0,189,3
Drilling,1,0.0,189,18
Lathe,1,18.0,212,20
Additive,1,0.0,190,16
Drilling,1,0.0,189,11
Drilling,1,0.0,189,20
Additive,1,5.0,190,1
Grinding,1,5.0,624,96
Milling,1,0.0,201,18
Grinding,1,0.0,624,96
Drilling,1,3.0,189,14
Milling,1,26.0,201,3
Milling,1,5.0,201,11
Drilling,1,0.0,189,18
Drilling,1,0.0,189,20
Lathe,1,5.0,212,6
Drilling,1,5.0,189,13
Drilling,1,0.0,189,7
Drilling,1,12.0,189,12
Milling,1,1.0,201,8
Lathe,1,0.0,212,6
Lathe,1,0.0,212,6
Additive,1,24.0,190,11
Grinding,1,0.0,624,96
Grinding,1,115.0,624,96
Milling,1,0.0,201,18
Grinding,1,0.0,624,96
Grinding,1,75.0,624,96
Drilling,1,1.0,189,20
Milling,1,0.0,201,20
Milling,1,3.0,201,2
Grinding,1,0.0,624,96
Milling,1,4.0,201,9
Lathe,1,0.0,212,5
Grinding,1,0.0,624,96
Additive,1,19.0,190,16
Additive,1,0.0,190,3
Milling,1,0.0,201,19
Drilling,1,24.0,189,19
Drilling,1,26.0,189,1
Milling,1,0.0,201,20
Grinding,1,0.0,624,96
Drilling,1,13.0,189,19
Lathe,1,0.0,212,18
Milling,1,0.0,201,17
Milling,1,3.0,201,12
Grinding,1,0.0,624,96
Milling,1,0.0,201,19
Grinding,1,5.0,624,96
Lathe,1,0.0,212,11
Lathe,1,0.0,212,3
Grinding,1,15.0,624,96
Additive,1,0.0,190,11
Milling,1,1.0,201,9
Lathe,1,0.0,212,3
Lathe,1,2.0,212,15
Grinding,1,100.0,624,96
Additive,1,2.0,190,18
Milling,1,0.0,201,10
Milling,1,0.0,201,5
Drilling,1,0.0,189,9
Milling,1,0.0,201,6
Milling,1,0.0,201,4
Milling,1,0.0,201,11
Milling,1,0.0,201,4
Milling,1,1.0,201,13
Milling,1,28.0,201,8
Grinding,1,0.0,624,96
Grinding,1,5.0,624,96
Additive,1,2.0,190,18
Drilling,1,0.0,189,12
Lathe,1,0.0,212,5
Drilling,1,22.0,189,12
Lathe,1,2.0,212,20
Grinding,1,130.0,624,96
Milling,1,0.0,201,18
Milling,1,13.0,201,4
Drilling,1,0.0,189,20
Lathe,1,4.0,212,7
Grinding,1,95.0,624,96
Drilling,1,5.0,189,19
Grinding,1,0.0,624,96
Lathe,1,0.0,212,16
Milling,1,26.0,201,18
Lathe,1,0.0,212,3
Additive,1,4.0,190,7
Lathe,1,2.0,212,12
Additive,1,0.0,190,9
Milling,1,2.0,201,19
Drilling,1,0.0,189,11
Lathe,1,1.0,212,5
Lathe,1,2.0,212,12
Additive,1,0.0,190,4
Grinding,1,50.0,624,96
Additive,1,2.0,190,14
Additive,1,1.0,190,9
Lathe,1,5.0,212,15
Additive,1,5.0,190,18
Grinding,1,0.0,624,96
Grinding,1,10.0,624,96
Milling,1,0.0,201,5
Additive,1,4.0,190,9
Drilling,1,0.0,189,18
Drilling,1,0.0,189,13
Additive,1,4.0,190,4
Grinding,1,135.0,624,96
Additive,1,0.0,190,5
Drilling,1,22.0,189,12
Additive,1,1.0,190,8
Drilling,1,3.0,189,8
Drilling,1,22.0,189,2
Additive,1,0.0,190,4
Drilling,1,0.0,189,1
Additive,1,0.0,190,19
Lathe,1,0.0,212,1
Lathe,1,21.0,212,2
Additive,1,0.0,190,20
Additive,1,11.0,190,18
Grinding,1,0.0,624,96
Grinding,1,15.0,624,96
Grinding,1,0.0,624,96
Milling,1,2.0,201,13
Additive,1,0.0,190,12
Drilling,1,0.0,189,5
Milling,1,0.0,201,20
Grinding,1,20.0,624,96
Additive,1,17.0,190,7
Lathe,1,0.0,212,12
Grinding,1,15.0,624,96
Lathe,1,15.0,212,8
Additive,1,4.0,190,6
Grinding,1,0.0,624,96
Milling,1,5.0,201,19
Additive,1,12.0,190,10
Additive,1,0.0,190,14
Additive,1,0.0,190,3
Grinding,1,0.0,624,96
Lathe,1,12.0,212,15
Additive,1,4.0,190,15
Grinding,1,0.0,624,96
Lathe,1,16.0,212,3
Additive,1,0.0,190,7
Lathe,1,5.0,212,6
Drilling,1,25.0,189,8
Grinding,1,0.0,624,96
Lathe,1,5.0,212,14
Drilling,1,0.0,189,20
Lathe,1,0.0,212,4
Drilling,1,1.0,189,9
Grinding,1,0.0,624,96
Additive,1,0.0,190,5
Additive,1,2.0,190,13
Lathe,1,3.0,212,18
Additive,1,3.0,190,16
Grinding,1,25.0,624,96
Drilling,1,0.0,189,20
Lathe,1,0.0,212,15
Additive,1,0.0,190,1
Grinding,1,0.0,624,96
Additive,1,5.0,190,3
Drilling,1,0.0,189,15
Drilling,1,4.0,189,17
Milling,1,0.0,201,15
Additive,1,3.0,190,19
Additive,1,0.0,190,6
Drilling,1,2.0,189,8
Drilling,1,2.0,189,7
Grinding,1,25.0,624,96
Grinding,1,0.0,624,96
Lathe,1,0.0,212,12
Lathe,1,16.0,212,18
Grinding,1,0.0,624,96
Milling,1,0.0,201,2
Drilling,1,0.0,189,12
Milling,1,3.0,201,6
Additive,1,0.0,190,19
Lathe,1,2.0,212,2
Additive,1,2.0,190,14
Lathe,1,2.0,212,1
Lathe,1,21.0,212,19
Grinding,1,0.0,624,96
Milling,1,0.0,201,20
Grinding,1,15.0,624,96
Grinding,1,0.0,624,96
Milling,1,0.0,201,3
Additive,1,0.0,190,17
Grinding,1,70.0,624,96
Lathe,1,0.0,212,17
Milling,1,0.0,201,13
Grinding,1,0.0,624,96
Milling,1,2.0,201,4
Lathe,1,0.0,212,13
Milling,1,0.0,201,11
Grinding,1,0.0,624,96
Additive,1,0.0,190,9
Grinding,1,150.0,624,96
Milling,1,0.0,201,6
Grinding,1,10.0,624,96
Milling,1,14.0,201,4
Drilling,1,4.0,189,12
Drilling,1,0.0,189,17
Drilling,1,26.0,189,10
Drilling,1,2.0,189,12
Grinding,1,70.0,624,96
Milling,1,4.0,201,9
Grinding,1,120.0,624,96
Lathe,1,17.0,212,17
Grinding,1,0.0,624,96
Grinding,1,65.0,624,96
Lathe,1,25.0,212,8
Additive,1,0.0,190,3
Grinding,1,10.0,624,96
Lathe,1,3.0,212,20
Additive,1,0.0,190,15
Milling,1,0.0,201,18
Additive,1,0.0,190,13
Grinding,1,75.0,624,96
Drilling,1,18.0,189,9
Milling,1,27.0,201,8
Milling,1,0.0,201,2
Milling,1,0.0,201,12
Drilling,1,0.0,189,11
Lathe,1,1.0,212,15
Grinding,1,0.0,624,96
Lathe,1,13.0,212,4
Milling,1,0.0,201,11
Grinding,1,15.0,624,96
Grinding,1,25.0,624,96
Drilling,1,19.0,189,2
Additive,1,0.0,190,12
Drilling,1,26.0,189,17
Drilling,1,30.0,189,3
Lathe,1,4.0,212,20
Drilling,1,0.0,189,13
Lathe,1,1.0,212,3
Grinding,1,20.0,624,96
Lathe,1,0.0,212,2
Milling,1,0.0,201,13
Drilling,1,3.0,189,16
Grinding,1,0.0,624,96
Milling,1,26.0,201,8
Grinding,1,50.0,624,96
Drilling,1,5.0,189,1
Additive,1,4.0,190,9
Additive,1,22.0,190,9
Grinding,1,10.0,624,96
Drilling,1,25.0,189,17
Additive,1,28.0,190,7
Grinding,1,0.0,624,96
Grinding,1,5.0,624,96
Grinding,1,0.0,624,96
Drilling,1,1.0,189,3
Grinding,1,60.0,624,96
Grinding,1,0.0,624,96
Lathe,1,0.0,212,2
Milling,1,0.0,201,17
Grinding,1,0.0,624,96
Milling,1,0.0,201,18
Additive,1,0.0,190,8
Drilling,1,4.0,189,13
Lathe,1,5.0,212,10
Grinding,1,0.0,624,96
Lathe,1,0.0,212,19
Grinding,1,150.0,624,96
Lathe,1,4.0,212,5
Lathe,1,3.0,212,14
Drilling,1,0.0,189,2
Milling,1,27.0,201,10
Milling,1,4.0,201,3
Grinding,1,0.0,624,96
Grinding,1,100.0,624,96
Additive,1,2.0,190,9
Milling,1,0.0,201,17
Additive,1,0.0,190,10
Lathe,1,0.0,212,5
Grinding,1,0.0,624,96
Lathe,1,27.0,212,7
Milling,1,5.0,201,8
Lathe,1,2.0,212,7
Grinding,1,5.0,624,96
Milling,1,0.0,201,9
Additive,1,2.0,190,9
Additive,1,4.0,190,19
Milling,1,23.0,201,9
Drilling,1,0.0,189,8
Drilling,1,1.0,189,8
Drilling,1,3.0,189,15
Grinding,1,20.0,624,96
Lathe,1,0.0,212,9
Milling,1,21.0,201,8
Additive,1,0.0,190,17
Lathe,1,16.0,212,11
Milling,1,0.0,201,10
Milling,1,0.0,201,18
Drilling,1,12.0,189,20
Grinding,1,140.0,624,96
Milling,1,0.0,201,14
Grinding,1,0.0,624,96
Additive,1,0.0,190,10
Lathe,1,27.0,212,12
Lathe,1,0.0,212,16
Lathe,1,0.0,212,13
Drilling,1,2.0,189,11
Milling,1,0.0,201,20
Lathe,1,27.0,212,18
Additive,1,2.0,190,10
Additive,1,4.0,190,4
Milling,1,1.0,201,12
Grinding,1,0.0,624,96
Milling,1,0.0,201,9
Milling,1,30.0,201,13
Grinding,1,0.0,624,96
Additive,1,4.0,190,16
Drilling,1,4.0,189,7
Lathe,1,1.0,212,12
Drilling,1,0.0,189,10
Grinding,1,0.0,624,96
Lathe,1,0.0,212,10
Lathe,1,4.0,212,14
Drilling,1,1.0,189,4
Lathe,1,5.0,212,5
Additive,1,3.0,190,15
Drilling,1,2.0,189,11
Lathe,1,4.0,212,11
Lathe,1,1.0,212,11
Lathe,1,0.0,212,11
Lathe,1,5.0,212,19
Lathe,1,2.0,212,9
Additive,1,0.0,190,9
Additive,1,0.0,190,12
Lathe,1,5.0,212,8
Drilling,1,0.0,189,8
Additive,1,3.0,190,14
Lathe,1,0.0,212,17
Milling,1,2.0,201,4
Additive,1,10.0,190,5
Drilling,1,0.0,189,2
Drilling,1,4.0,189,13
Lathe,1,1.0,212,12
Grinding,1,100.0,624,96
Milling,1,3.0,201,12
Lathe,1,1.0,212,9
Milling,1,4.0,201,19
Grinding,1,0.0,624,96
Milling,1,5.0,201,5
Grinding,1,15.0,624,96
Milling,1,3.0,201,3
Grinding,1,150.0,624,96
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
Additive,1,2.0,190,6
Milling,1,0.0,201,2
Additive,1,26.0,190,7
Lathe,1,2.0,212,13
Drilling,1,20.0,189,10
Lathe,1,0.0,212,10
Drilling,1,2.0,189,14
Milling,1,0.0,201,14
Additive,1,2.0,190,2
Grinding,1,130.0,624,96
Milling,1,0.0,201,20
Additive,1,2.0,190,18
Additive,1,10.0,190,6
Additive,1,0.0,190,12
Lathe,1,0.0,212,18
Grinding,1,0.0,624,96
Drilling,1,0.0,189,14
Lathe,1,0.0,212,17
Additive,1,4.0,190,9
Milling,1,4.0,201,12
Additive,1,1.0,190,7
Lathe,1,28.0,212,19
Milling,1,0.0,201,14
Milling,1,0.0,201,8
Lathe,1,25.0,212,20
Lathe,1,0.0,212,17
Grinding,1,115.0,624,96
Additive,1,3.0,190,9
Grinding,1,0.0,624,96
Additive,1,1.0,190,16
Lathe,1,0.0,212,19
Milling,1,24.0,201,19
Drilling,1,0.0,189,9
Lathe,1,1.0,212,16
Grinding,1,95.0,624,96
Additive,1,2.0,190,15
Drilling,1,0.0,189,13
Grinding,1,140.0,624,96
Grinding,1,0.0,624,96
Additive,1,2.0,190,9
Drilling,1,30.0,189,6
Drilling,1,0.0,189,18
Grinding,1,0.0,624,96
Drilling,1,0.0,189,16
Milling,1,26.0,201,7
Additive,1,23.0,190,7
Lathe,1,0.0,212,3
Grinding,1,0.0,624,96
Milling,1,26.0,201,3
Drilling,1,0.0,189,20
Milling,1,22.0,201,20
Drilling,1,0.0,189,12
Grinding,1,120.0,624,96
Lathe,1,4.0,212,14
Grinding,1,150.0,624,96
Lathe,1,24.0,212,10
Grinding,1,140.0,624,96
Drilling,1,4.0,189,11
Milling,1,13.0,201,11
Grinding,1,0.0,624,96
Additive,1,3.0,190,10
Additive,1,21.0,190,4
Drilling,1,3.0,189,15
Drilling,1,19.0,189,16
Additive,1,5.0,190,15
Drilling,1,28.0,189,19
Drilling,1,14.0,189,7
Milling,1,0.0,201,11
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
Drilling,1,27.0,189,10
Milling,1,10.0,201,13
Milling,1,30.0,201,7
Lathe,1,0.0,212,4
Milling,1,22.0,201,7
Lathe,1,14.0,212,20
Additive,1,1.0,190,14
Lathe,1,0.0,212,3
Additive,1,0.0,190,3
Milling,1,4.0,201,3
Additive,1,0.0,190,6
Additive,1,0.0,190,6
Grinding,1,5.0,624,96
Drilling,1,0.0,189,9
Grinding,1,50.0,624,96
Grinding,1,50.0,624,96
Additive,1,2.0,190,18
Milling,1,17.0,201,17
Additive,1,24.0,190,11
Additive,1,23.0,190,3
Drilling,1,0.0,189,12
Additive,1,2.0,190,14
Grinding,1,0.0,624,96
Milling,1,0.0,201,15
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
Additive,1,1.0,190,9
Milling,1,5.0,201,2
Milling,1,0.0,201,11
Lathe,1,4.0,212,15
Lathe,1,13.0,212,6
Milling,1,0.0,201,3
Drilling,1,1.0,189,11
Lathe,1,0.0,212,15
Drilling,1,4.0,189,6
Milling,1,29.0,201,4
Lathe,1,28.0,212,11
Grinding,1,60.0,624,96
Milling,1,20.0,201,18
Drilling,1,0.0,189,10
Lathe,1,12.0,212,6
Additive,1,5.0,190,1
Lathe,1,16.0,212,13
Drilling,1,0.0,189,14
Milling,1,12.0,201,5
Lathe,1,28.0,212,9
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
Drilling,1,1.0,189,1
Milling,1,24.0,201,9
Lathe,1,2.0,212,20
Additive,1,4.0,190,15
Additive,1,1.0,190,20
Milling,1,1.0,201,15
Additive,1,0.0,190,14
Lathe,1,25.0,212,6
Drilling,1,5.0,189,20
Additive,1,2.0,190,3
Lathe,1,0.0,212,13
Grinding,1,55.0,624,96
Additive,1,24.0,190,6
Lathe,1,27.0,212,4
Additive,1,0.0,190,3
Additive,1,0.0,190,3
Drilling,1,0.0,189,18
Lathe,1,0.0,212,19
Lathe,1,27.0,212,18
Milling,1,0.0,201,16
Grinding,1,0.0,624,96
Lathe,1,0.0,212,13
Additive,1,0.0,190,3
Additive,1,2.0,190,6
Additive,1,1.0,190,16
Lathe,1,3.0,212,14
Drilling,1,16.0,189,12
Milling,1,3.0,201,4
Lathe,1,5.0,212,20
Milling,1,16.0,201,13
Grinding,1,90.0,624,96
Drilling,1,3.0,189,7
Drilling,1,0.0,189,13
Lathe,1,27.0,212,2
Milling,1,0.0,201,2
Grinding,1,80.0,624,96
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
Drilling,1,5.0,189,8
Drilling,1,20.0,189,16
Drilling,1,0.0,189,15
Milling,1,3.0,201,10
Lathe,1,2.0,212,1
Grinding,1,15.0,624,96
Grinding,1,85.0,624,96
Grinding,1,0.0,624,96
Milling,1,0.0,201,5
Drilling,1,4.0,189,5
Grinding,1,135.0,624,96
Additive,1,0.0,190,5
Milling,1,13.0,201,6
Additive,1,0.0,190,20
Lathe,1,5.0,212,8
Milling,1,0.0,201,9
Additive,1,16.0,190,8
Additive,1,2.0,190,18
Grinding,1,25.0,624,96
Grinding,1,50.0,624,96
Milling,1,0.0,201,8
Drilling,1,0.0,189,19
Drilling,1,0.0,189,7
Additive,1,0.0,190,4
Lathe,1,0.0,212,8
Drilling,1,0.0,189,8
Grinding,1,0.0,624,96
Milling,1,0.0,201,2
Additive,1,0.0,190,8
Additive,1,4.0,190,7
Milling,1,0.0,201,10
Milling,1,30.0,201,20
Drilling,1,16.0,189,12
Lathe,1,11.0,212,6
Milling,1,5.0,201,11
Milling,1,13.0,201,5
Milling,1,19.0,201,2
Drilling,1,0.0,189,17
Drilling,1,0.0,189,17
Milling,1,0.0,201,8
Drilling,1,5.0,189,3
Grinding,1,0.0,624,96
Milling,1,0.0,201,15
Drilling,1,0.0,189,16
Additive,1,0.0,190,11
Drilling,1,0.0,189,14
Drilling,1,5.0,189,8
Drilling,1,4.0,189,12
Grinding,1,5.0,624,96
Additive,1,0.0,190,9
Milling,1,3.0,201,4
Drilling,1,0.0,189,5
Grinding,1,0.0,624,96
Milling,1,5.0,201,19
Lathe,1,22.0,212,15
Drilling,1,4.0,189,8
Drilling,1,0.0,189,3
Lathe,1,0.0,212,13
Grinding,1,0.0,624,96
Lathe,1,0.0,212,7
Milling,1,5.0,201,9
Lathe,1,1.0,212,17
Milling,1,0.0,201,18
Grinding,1,125.0,624,96
Grinding,1,0.0,624,96
Additive,1,5.0,190,4
Milling,1,5.0,201,20
Grinding,1,10.0,624,96
Drilling,1,16.0,189,5
Grinding,1,0.0,624,96
Milling,1,0.0,201,2
Grinding,1,0.0,624,96
Milling,1,11.0,201,6
Milling,1,14.0,201,17
Grinding,1,0.0,624,96
Drilling,1,0.0,189,4
Lathe,1,1.0,212,3
Additive,1,0.0,190,9
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
Grinding,1,135.0,624,96
Additive,1,0.0,190,11
Milling,1,4.0,201,17
Lathe,1,1.0,212,19
Additive,1,4.0,190,13
Additive,1,0.0,190,16
Milling,1,23.0,201,14
Lathe,1,0.0,212,5
Lathe,1,18.0,212,16
Milling,1,5.0,201,10
Grinding,1,15.0,624,96
Drilling,1,3.0,189,1
Grinding,1,0.0,624,96
Drilling,1,11.0,189,12
Milling,1,22.0,201,20
Lathe,1,0.0,212,12
Milling,1,5.0,201,12
Lathe,1,0.0,212,13
Lathe,1,1.0,212,4
Lathe,1,0.0,212,9
Milling,1,0.0,201,17
Additive,1,0.0,190,7
Milling,1,12.0,201,19
Milling,1,28.0,201,1
Milling,1,0.0,201,12
Grinding,1,15.0,624,96
Lathe,1,0.0,212,10
Milling,1,5.0,201,16
Grinding,1,0.0,624,96
Drilling,1,5.0,189,5
Drilling,1,0.0,189,10
Lathe,1,2.0,212,13
Additive,1,11.0,190,6
Drilling,1,0.0,189,8
Milling,1,0.0,201,8
Drilling,1,1.0,189,9
Lathe,1,3.0,212,10
Milling,1,0.0,201,6
Additive,1,4.0,190,7
Grinding,1,15.0,624,96
Grinding,1,0.0,624,96
Additive,1,21.0,190,14
Lathe,1,4.0,212,20
Lathe,1,2.0,212,7
Drilling,1,16.0,189,11
Lathe,1,3.0,212,5
Grinding,1,0.0,624,96
Lathe,1,2.0,212,9
Additive,1,19.0,190,6
Drilling,1,12.0,189,2
Milling,1,0.0,201,15
Additive,1,4.0,190,13
Additive,1,0.0,190,15
Grinding,1,0.0,624,96
Additive,1,0.0,190,9
Lathe,1,0.0,212,8
Additive,1,25.0,190,2
Drilling,1,2.0,189,2
Grinding,1,0.0,624,96
Grinding,1,25.0,624,96
Additive,1,4.0,190,19
Grinding,1,0.0,624,96
Drilling,1,0.0,189,3
Milling,1,0.0,201,20
Drilling,1,12.0,189,1
Additive,1,0.0,190,14
Grinding,1,0.0,624,96
Drilling,1,5.0,189,10
Additive,1,0.0,190,12
Lathe,1,0.0,212,15
Lathe,1,0.0,212,9
Lathe,1,0.0,212,4
Drilling,1,0.0,189,2
Drilling,1,4.0,189,1
Drilling,1,4.0,189,17
Drilling,1,0.0,189,12
Drilling,1,3.0,189,1
Drilling,1,25.0,189,4
Milling,1,2.0,201,5
Lathe,1,5.0,212,17
Additive,1,0.0,190,10
Additive,1,30.0,190,10
Lathe,1,25.0,212,3
Lathe,1,0.0,212,10
Drilling,1,0.0,189,18
Milling,1,2.0,201,18
Drilling,1,2.0,189,7
Drilling,1,4.0,189,11
Drilling,1,4.0,189,20
Lathe,1,3.0,212,17
Lathe,1,1.0,212,3
Grinding,1,0.0,624,96
Lathe,1,2.0,212,10
Drilling,1,23.0,189,14
Grinding,1,0.0,624,96
Additive,1,1.0,190,12
Additive,1,0.0,190,20
Milling,1,4.0,201,3
Grinding,1,25.0,624,96
Additive,1,0.0,190,20
Additive,1,3.0,190,7
Drilling,1,3.0,189,3
Lathe,1,0.0,212,16
Additive,1,0.0,190,2
Milling,1,5.0,201,11
Drilling,1,27.0,189,9
Grinding,1,0.0,624,96
Drilling,1,0.0,189,17
Drilling,1,1.0,189,20
Milling,1,0.0,201,11
Additive,1,23.0,190,8
Lathe,1,0.0,212,6
Milling,1,20.0,201,1
Additive,1,18.0,190,2
Drilling,1,0.0,189,9
Additive,1,0.0,190,4
Lathe,1,11.0,212,9
Grinding,1,135.0,624,96
Additive,1,13.0,190,8
Additive,1,2.0,190,7
Lathe,1,0.0,212,3
Milling,1,0.0,201,18
Milling,1,0.0,201,2
Milling,1,0.0,201,14
Milling,1,0.0,201,1
Grinding,1,20.0,624,96
Lathe,1,13.0,212,5
Milling,1,0.0,201,11
Lathe,1,5.0,212,17
Lathe,1,4.0,212,17
Additive,1,0.0,190,9
